total,price,condition,MPN,movement,case material,band material,model,listingType
5200,5200,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Oyster Perpetual,FixedPrice
5500,5500,pre-owned,68273,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
3400,3400,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice
6528,6478,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
8900,8900,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
6250,6250,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
11057,11057,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction
9000,8950,new without tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
7395,7395,new with tags,"$7,350 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory
3200,3200,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
8797,8797,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
5800,5800,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory
3245,3200,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
3350,3350,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,Auction
8400,8400,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory
5800,5800,pre-owned,1500,Automatic Self Wind,Yellow Gold,Yellow Gold,Date,StoreInventory
5500,5500,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
4025,4000,pre-owned,Does not apply,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Oyster Perpetual,FixedPrice
5500,5500,new with tags,116300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory
7000,7000,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,Auction
5500,5500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
3888,3888,pre-owned,114200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Air-King,FixedPrice
6900,6900,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
5750,5700,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,StoreInventory
11050,11000,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,StoreInventory
7500,7500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
8544,8544,pre-owned,16018/16000,Mechanical (Automatic),Gold,Leather,Datejust,Auction
9900,9800,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
5405,5375,new with tags,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory
7869,7835,pre-owned,15037,Mechanical (Automatic),14K Gold,14k Yellow Gold,Rolex Date,StoreInventory
6975,6975,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice
7500,7500,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
7250,7250,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
3725,3700,pre-owned,6694,Mechanical (Hand-winding),Stainless Steel,Leather,Oysterdate Precision,Auction
6410,6310,pre-owned,179138,Mechanical (Automatic),Gold,Gold,Rolex President,Auction
10700,10700,pre-owned,116613,Mechanical (Automatic),Yellow Gold / Steel,Yellow Gold / Steel,Rolex Submariner,Auction
6500,6500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
8514,8500,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,FixedPrice
5523,5500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
7325,7250,new with tags,"$7,850 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
3595,3595,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
3800,3800,new with tags,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
6528,6478,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
10570,10500,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,StoreInventory
6800,6800,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
10995,10995,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
10100,10100,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction
3620,3600,pre-owned,16018/16000,Mechanical (Automatic),Gold,Leather,Datejust,FixedPrice
7805,7750,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
3894,3894,pre-owned,68273,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex Datejust,FixedPrice
3125,3080,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory
6016,6000,pre-owned,6.83E+11,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory
3400,3400,pre-owned,Does Not Apply,Mechanical (Hand-winding),Stainless Steel,"Crocodile Skin, Leather",Rolex Oysterdate,StoreInventory
4000,4000,pre-owned,178240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex DateJust,StoreInventory
6800,6800,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction
3400,3400,seller refurbished,4074,Mechanical (Hand-winding),Gold,Yellow Gold,Rolex Cellini,StoreInventory
3887,3887,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,StoreInventory
5700,5700,pre-owned,15037,Mechanical (Automatic),14K Yellow GOld,Alligator,15037 ROlex 14K Oyster Perpetual Date,FixedPrice
7500,7500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
7250,7250,pre-owned,116613LB,Automatic,"Gold, Stainless Steel","Gold, Stainless Steel",Rolex Submariner,StoreInventory
7800,7800,new with tags,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,StoreInventory
8375,8300,pre-owned,18038,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,FixedPrice
9500,9500,seller refurbished,16710,Automatic Self Wind,Stainless Steel,Stainless Steel,Rolex GMT-Master II,FixedPrice
5775,5750,new with tags,"$7,850 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
3080,3050,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
5685,5650,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex DateJust,StoreInventory
10000,10000,pre-owned,116334,Mechanical (Automatic),Stainless Steel with 18k White Gold Bezel,Stainless Steel,Datejust II,StoreInventory
8400,8400,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory
5293,5293,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
5750,5750,pre-owned,Rolex Submariner,Mechanical (Automatic),Stainless Steel,"Rolex Stainless Steel Oyster, Stainless Steel",Rolex Submariner,StoreInventory
5250,5200,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Oyster Perpetual 39,FixedPrice
5250,5200,new with tags,116900,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,FixedPrice
6000,6000,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Datejust,Auction
3265,3265,pre-owned,6517,Mechanical (Automatic),"Solid Gold, Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice
4992,4992,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,FixedPrice
9675,9675,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,StoreInventory
3725,3695,pre-owned,14000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,FixedPrice
3510,3500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
5900,5900,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
6200,6200,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory
3101,3101,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
3350,3350,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,StoreInventory
5250,5200,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Oyster Perpetual 39,FixedPrice
3500,3500,pre-owned,6917,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 14k Yellow Gold,Rolex Datejust,StoreInventory
7600,7600,pre-owned,16622,Mechanical (Automatic),"Stainless Steel, Platinum",Stainless Steel,Rolex Yacht-Master,StoreInventory
3350,3350,pre-owned,6917,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 14k Yellow Gold,Rolex Datejust,StoreInventory
3400,3400,pre-owned,14000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,StoreInventory
3114,3095,pre-owned,1601,Mechanical (Automatic),Gold,"Genuine Leather, Leather",Rolex Datejust,FixedPrice
5700,5700,pre-owned,214270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice
3500,3500,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
3548,3548,pre-owned,69173,Mechanical (Automatic),"18K Yellow Gold, 18K Gold, Yellow Gold, Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory
5000,5000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory
5250,5250,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory
3200,3200,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
9025,9000,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,FixedPrice
7943,7943,pre-owned,116610LN,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,FixedPrice
3093,3093,pre-owned,67194,Mechanical (Automatic),Stainless Steel,Stainless Steel,OYSTER PERPETUAL,FixedPrice
9800,9800,pre-owned,126300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice
4050,4050,new with tags,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Deepsea,Auction
4100,4000,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
7216,7188,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,Auction
7101,7101,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
10415,10400,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
7090,7090,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction
5393,5393,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
6500,6500,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction
6794,6794,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
3383,3383,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,Auction
3925,3850,pre-owned,6605,Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice
9943,9943,pre-owned,Rolex GMT Master II 16710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT Master II,FixedPrice
3374,3374,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
6250,6250,pre-owned,16800,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,FixedPrice
5199,5199,seller refurbished,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,FixedPrice
4514,4495,pre-owned,Does Not Apply,Automatic,Stainless Steel,Silver,Rolex Oyster Perpetual,StoreInventory
3149,3138,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction
5500,5500,pre-owned,18239,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
8500,8500,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
7000,7000,pre-owned,16803,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex Submariner,StoreInventory
5499,5499,pre-owned,15003,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Date,StoreInventory
7900,7900,pre-owned,"$10,900 ",Mechanical (Automatic),"18K Yellow Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice
5500,5500,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
5300,5300,pre-owned,2018,Automatic,Gold,904L stainless Steel,Datejust,Auction
7500,7500,pre-owned,"$13,000 ",Automatic,Stainless Steel,"18K Yellow Gold, Stainless Steel",Rolex GMT-Master,StoreInventory
8895,8895,new with tags,126334,Mechanical (Automatic),"Stainless Steel, Gold",Stainless Steel,Rolex Datejust 41,StoreInventory
4310,4300,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
8550,8500,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,StoreInventory
5900,5900,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
5350,5350,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory
6000,6000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
7495,7495,new with tags,"$7,850 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
7000,7000,pre-owned,6.83E+11,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
3000,3000,pre-owned,69173,Mechanical (Automatic),"18K Yellow Gold, 18K Gold, Yellow Gold, Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,Auction
3895,3870,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction
11016,10988,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
4999,4999,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"18k Yellow Gold, Stainless Steel",Rolex Datejust,FixedPrice
4950,4950,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
6250,6250,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
9400,9400,pre-owned,69178,Mechanical (Automatic),18K Solid Gold,18K Solid Gold,Rolex Datejust,FixedPrice
7999,7999,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice
5300,5300,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory
4555,4555,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
5192,5192,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice
4899,4899,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
4750,4750,pre-owned,Does not apply,Mechanical (Automatic),"Gold, 18k yellow gold",Leather,Rolex President,Auction
3519,3499,pre-owned,6548,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory
5010,5000,pre-owned,Does Not Apply,Quartz (Battery),Gold,White Gold,Rolex Cellini,FixedPrice
3820,3800,pre-owned,69173,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory
7992,7992,pre-owned,6517,Automatic,"Solid Gold, Rose Gold",Rose Gold,Rolex Lady-Datejust,FixedPrice
9200,9200,pre-owned,1803,Mechanical (Automatic),18K Yellow Gold,Solid Gold,Rolex President,FixedPrice
7500,7500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
9500,9500,pre-owned,16622,Automatic Self Wind,"Platinum, Stainless Steel",Platinum,Rolex Yacht-Master,FixedPrice
3500,3500,pre-owned,1625,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Datejust,FixedPrice
7000,7000,pre-owned,116334,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice
5800,5800,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
5595,5595,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory
3054,3054,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Gold Bezel, Stainless Steel",Stainless/18K Gold,Yachtmaster 169623,Auction
11063,11000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
3800,3800,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,18k Yellow Gold & Stainless Steel,Rolex Datejust,FixedPrice
10738,10688,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
3875,3875,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,StoreInventory
7000,7000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
5049,5049,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Date,Auction
4250,4250,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice
6195,6195,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
3532,3500,pre-owned,Does Not Apply,Mechanical (Automatic),18K Gold,18K Gold,Rolex Day-Date,Auction
8750,8750,new with tags,168622,Automatic,Stainless Steel,Stainless Steel,Rolex Yacht-Master,StoreInventory
7900,7900,pre-owned,116233,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice
10045,10045,new with tags,Does Not Apply,Swiss Automatic,Stainless Steel,Two Tone Stainless Steel,Datejust,FixedPrice
4000,4000,pre-owned,69174,Mechanical (Automatic),"Solid Gold, Stainless Steel","none, Gold",Datejust,Auction
9000,9000,pre-owned,R16700A30B9315,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,StoreInventory
6900,6900,new without tags,116300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory
5022,4975,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Explorer,FixedPrice
9503,9500,pre-owned,1803,Mechanical (Automatic),Gold,Yellow Gold,Rolex Oyster Perpetual,StoreInventory
4232,4200,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory
6950,6950,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory
11493,11493,pre-owned,1675,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex GMT-Master,FixedPrice
8450,8450,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,FixedPrice
7601,7601,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
4099,4099,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice
10595,10595,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
6890,6855,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
3914,3900,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Tudor Prince,Auction
4408,4392,pre-owned,16628,Mechanical (Automatic),Gold,Yellow Gold,Yacht-Master,Auction
10595,10595,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
7800,7800,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,Auction
3050,3000,pre-owned,15210,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Date,FixedPrice
5816,5800,pre-owned,Does Not Apply,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Oyster Perpetual,Auction
3512,3500,pre-owned,Does Not Apply,Mechanical (Hand-winding),Solid Gold,"Crocodile Skin, Genuine Leather",Rolex Cellini,StoreInventory
3750,3750,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,Auction
9950,9950,pre-owned,16613,Mechanical (Automatic),Stainless Steel -18k Bezel,Stainless Steel - 18k Yellow Gold,Submariner,StoreInventory
7500,7500,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,Auction
11000,11000,new without tags,16013,Mechanical (Automatic),"Solid Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory
12000,12000,pre-owned,7.01E+11,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Deepsea,FixedPrice
5678,5678,pre-owned,126334,Automatic,Stainless Steel,Stainless Steel,Rolex datejust 41mm,Auction
4635,4600,pre-owned,68274,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
6129,6129,pre-owned,126300-BLUSO,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust 41,Auction
6000,6000,pre-owned,116234,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice
3500,3500,pre-owned,69173,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction
11805,11750,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
